A0A194AML4_AGKPIS_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 111]]	111	100.0
A0A1J0CZN0_VIPAMM_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 48], [51, 109]]	111	96.3963963963964
A8QL56_OPHHAN_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	260	98.46153846153847
B5U6Y3_ECHOCE_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
BJAR454SVSP01_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
BJAR454SVSP02_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
BJAR454SVSP03_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 258']	258	100.0
BJAR454SVSP04_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 259']	260	99.61538461538461
BJAR454SVSP05_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
BJAR454SVSP06_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
BJAR454SVSP07_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 258']	258	100.0
BJAR454SVSP08_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['2 268']	269	99.25650557620817
BJAR454SVSP09_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
BJAR454SVSP10_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
BJAR454SVSP_AB004067_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
BJAR454SVSP_AB031394_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
E5AJX2_VIPNIK_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['16 256']	257	93.77431906614785
J3S832_CROADA_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
P04971_BOTATR_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 255']	255	100.0
P0C5B4_GLOSHE_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 259']	260	99.61538461538461
P0DJ86_BOTLEU_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 231']	231	100.0
P18965_DABSIA_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 259']	260	99.61538461538461
P26324_CALRHO_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 233']	234	99.57264957264957
P82981_AGKCON_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 233']	234	99.57264957264957
Q09GK1.1_PHIOLF_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	261	98.46743295019157
Q09GK1_PHIOLF_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	261	98.46743295019157
Q27J47_LACMUT_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
Q3BER1_ECHOCE_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 47], [51, 128]]	128	97.65625
Q3BER3_ECHOCE_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 48], [51, 128]]	128	98.4375
Q5MCS0_HYDHAR_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 265']	265	100.0
Q6T6S7_BITGAB_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 259']	260	99.61538461538461
Q6T6T2_BITGAB_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 48], [52, 128]]	128	97.65625
Q6T6T3_BITGAB_DIS	HWI-C00127:94:HKY72BCXY:1:1213:3488:48426	[[1, 48], [51, 128]]	128	98.4375
Q71QI3_TRISTE_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
Q7SYF1_CERCER_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['17 256']	256	93.75
Q8JH85_MACLEB_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 257']	258	99.6124031007752
Q8QG86_BOTINS_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
Q91510_PROMUC_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 256']	257	99.61089494163424
Q9I8W9_DEIACU_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 259']	260	99.61538461538461
SSSS_PHAMER_SVSP	HWI-C00127:94:HKY72BCXY:1:1203:15173:38750	['1 253']	256	98.828125
